6876 6876
1044 1113 2
1113 1149 1
1149 1224 2
1224 1255 1
1255 1223 2
1223 1291 2
1291 1325 2
1325 1397 2
1397 1363 2
1363 1292 2
1292 1256 1
1256 1183 2
1183 1150 1
1150 1114 1
1114 1045 2
1045 980 2
980 1011 2
1011 1080 2
1080 1115 1
1115 1185 2
1185 1184 2
1184 1257 2
1257 1293 2
1293 1258 1
1258 1259 2
1259 1327 2
1327 1400 2
1400 1435 1
1435 1506 2
1506 1536 1
1536 1571 2
1571 1607 1
1607 1636 2
1636 1666 2
1666 1699 2
1699 1763 2
1763 1819 2
1819 1874 2
1874 1927 2
1927 1955 1
1955 1956 3
1956 2005 2
2005 2034 2
2034 2075 2
2075 2076 2
2076 2120 2
2120 2164 2
2164 2208 2
2208 2207 2
2207 2182 2
2182 2143 2
2143 2098 2
2098 2048 2
2048 2004 2
2004 1977 2
1977 1954 2
1954 1926 1
1926 1903 3
1903 1847 2
1847 1873 3
1873 1818 2
1818 1788 2
1788 1729 2
1729 1762 2
1762 1761 2
1761 1698 2
1698 1665 2
1665 1635 2
1635 1634 2
1634 1570 2
1570 1535 2
1535 1469 2
1469 1470 2
1470 1399 2
1399 1364 1
1364 1326 2
1326 1398 2
1398 1434 2
1434 1505 2
1505 1468 2
1468 1396 2
1396 1362 1
1362 1433 2
1433 1504 2
1504 1534 1
1534 1569 2
1569 1605 1
1605 1606 2
1606 1697 3
1697 1760 2
1760 1846 3
1846 1925 3
1925 1974 3
1974 1975 3
1975 1901 3
1901 1816 3
1816 1727 3
1727 1728 3
1728 1817 3
1817 1872 2
1872 1902 1
1902 1976 3
1976 2032 2
2032 2033 3
2033 2047 1
2047 2097 2
2097 2142 2
2142 2181 2
2181 2227 2
2227 2248 2
2248 2271 1
2271 2313 2
2313 2333 2
2333 2373 2
2373 2413 2
2413 2456 2
2456 2457 3
2457 2482 1
2482 2498 2
2498 2543 2
2543 2520 3
2520 2588 3
2588 2618 1
2618 2648 2
2648 2589 2
2589 2649 2
2649 2706 2
2706 2732 2
2732 2796 2
2796 2861 2
2861 2889 1
2889 2860 2
